# Magnto-optical constants for Co L edge: delta beta
# energy (eV)   delta_beta * 1e-3
785.3925512703606  -0.036207454726441934
785.5252909939388  -0.04092005702615453
785.6580307175169  -0.041504499537612816
785.790770441095  -0.03744476228728577
785.9235101646731  -0.033901045010490405
786.0562498882513  -0.029325287786631682
786.1889896118294  -0.02939371032455851
786.3217293354074  -0.03255825270367607
786.4544690589855  -0.042947074712237576
786.5872087825636  -0.0528198767472674
786.7199485061418  -0.06062859888817007
786.8526882297199  -0.0606970214260969
786.985427953298  -0.05818534409636489
787.118167676876  -0.05206152695191091
787.2509074004541  -0.043873629913330436
787.3836471240323  -0.03516971290121762
787.5163868476104  -0.03317405554501773
787.6491265711885  -0.031178398188817624
787.7818662947666  -0.030214780779680872
787.9146060183448  -0.0302832033176077
788.0473457419229  -0.029319585908470946
788.180085465501  -0.025259848658144346
788.312825189079  -0.024296231249007594
788.4455649126571  -0.02436465378693442
788.5783046362353  -0.024433076324861247
788.7110443598134  -0.023985478889256395
788.8437840833915  -0.021473801559524608
788.9765238069696  -0.021542224097451435
789.1092635305477  -0.02161064663537826
789.2420032541258  -0.02167906917330531
789.3747429777039  -0.0196834118171052
789.507482701282  -0.01871979440796845
789.6402224248601  -0.018788216945895275
789.7729621484383  -0.018856639483822102
789.9057018720164  -0.01892506202174893
790.0384415955945  -0.017961444612612176
790.1711813191725  -0.014417727335817254
790.3039210427506  -0.012938089953148824
790.4366607663288  -0.01300651249107565
790.5694004899069  -0.013074935029002477
790.702140213485  -0.01107927767280259
790.8348799370631  -0.007019540422475323
790.9676196606412  -0.00708796296040215
791.1003593842194  -0.007156385498329199
791.2330991077974  -0.007224808036256025
791.3658388313755  -0.007293230574182852
791.4985785549536  -0.006845633138578
791.6313182785318  -0.004333955808846213
791.7640580021099  -0.004402378346773039
791.896797725688  -0.004470800884699866
792.0295374492661  -0.004539223422626915
792.1622771728441  -0.004607645960553741
792.2950168964223  -0.003644028551416989
792.4277566200004  -0.00164837119521688
792.5604963435785  -0.0017167937331437066
792.6932360671566  -0.0017852162710705333
792.8259757907347  -0.0018536388089973599
792.9587155143129  -0.0019220613469244086
793.091455237891  -0.00044242396425597796
793.224194961469  0.003101293312539166
793.3569346850471  0.004064910721675918
793.4896744086253  0.003996488183749092
793.6224141322034  0.003928065645822265
793.7551538557815  0.0064397429755542746
793.8878935793596  0.013079580093539489
794.0206333029377  0.02487961694684282
794.1533730265159  0.03771169374720906
794.2861127500939  0.0557039702828932
794.418852473672  0.07782440660683076
794.5515921972501  0.10355698274549074
794.6843319208282  0.13393373864593605
794.8170716444064  0.17153477417582574
794.9470459570766  0.20526708537376748
795.0604278042996  0.2437553331454423
795.1673570260708  0.28487860887772265
795.2595373896667  0.3258546811221572
795.3480305387188  0.3664456390124968
795.4365236877709  0.4120677916447706
795.5139551931915  0.45240644142650477
795.5913866986119  0.4955832010626635
795.6798798476641  0.5454625184765742
795.7573113530846  0.5947025128017309
795.8347428585051  0.6382662874180383
795.9232360075572  0.6797602802620584
796.0559757311354  0.6910442971418296
796.1887154547135  0.6863316948421172
796.3214551782916  0.667686553257048
796.4541949018696  0.6428491719895979
796.5869346254478  0.6123355710132987
796.7196743490259  0.5787258501958092
796.852414072604  0.5451161293783193
796.9851537961821  0.5078942687461077
797.1178935197602  0.47531658787568154
797.2506332433384  0.4437709469523192
797.3833729669165  0.41635346581721033
797.5161126904945  0.3879039447350383
797.6488524140726  0.35997044362639774
797.7815921376507  0.3341010224118839
797.9143318612289  0.30926364114443383
798.047071584807  0.2870063597446426
798.1798113083851  0.2668131582389781
798.3125510319632  0.24713597670684528
798.4452907555414  0.23158695496296633
798.5780304791194  0.21706997316615118
798.7107702026975  0.2046170712634625
798.8435099262756  0.1911321294137105
798.9762496498537  0.18229136732574425
799.1089893734319  0.1755146851319047
799.24172909701  0.1656418830968751
799.374468820588  0.15938122087656748
