# Magnto-optical constants for Co L edge: beta
# energy (eV)   beta * 1e-3
773.4226269181563  0.4323703090716373
773.5552807816285  0.43261062404169603
773.6879346451009  0.43285093901175387
773.8205885085732  0.4330912539818126
773.9532423720455  0.4333315689518713
774.0858962355178  0.43357188392193
774.21855009899  0.43381219889198785
774.3512039624624  0.4340525138620466
774.4838578259347  0.4342928288321053
774.6165116894069  0.4381578946005469
774.7491655528793  0.44564771116737045
774.8818194163516  0.4458880261374283
775.0144732798238  0.45156546730506086
775.1471271432962  0.45905528387188443
775.2797810067685  0.4683574758378999
775.4124348702408  0.4685977908079577
775.5450887337131  0.47789998277397316
775.6777425971853  0.4799526731432229
775.8103964606577  0.4801929881132816
775.94305032413  0.48949518007929704
776.0757041876022  0.5024221228436936
776.2083580510746  0.5026624378137523
776.3410119145469  0.5083398789813849
776.4736657780192  0.5140173201490175
776.6063196414915  0.5251318875142239
776.7389735049638  0.5253722024842826
776.8716273684361  0.5364867698494891
777.0042812319084  0.5476013372146955
777.1369350953806  0.5514664029831362
777.269588958853  0.5625809703483426
777.4022428223253  0.5827574147095049
777.5348966857975  0.5993091082722852
777.6675505492699  0.6212979280326403
777.8002044127422  0.6487238739905674
777.9328582762145  0.6870240723436432
778.0655121396868  0.7253242706967198
778.1981660031591  0.7672492198481784
778.3308198666314  0.8182360459955929
778.4634737301037  0.8710352475422001
778.5961275935759  0.9274591998871884
778.7287814570483  0.9929450292281343
778.8614353205206  1.0602432339682721
778.9940891839929  1.136603315704365
779.1267430474652  1.2184005236380324
779.2593969109375  1.3074472331684648
779.3920507744098  1.403743444295663
779.5247046378821  1.5145386586163898
779.6573585013545  1.639832876130649
779.778957876204  1.7651070673974028
779.8950300067422  1.9012454979355518
779.9874139473748  2.036564282772252
780.0442656031486  2.160323059281385
780.1105925348847  2.2858595943904536
780.1680758757227  2.425879111695048
780.2299810120098  2.5782307922131453
780.2911491823887  2.717532034773897
780.3353671368795  2.8698516732959867
780.3759002618293  3.02868918783933
780.4090637276975  3.1608714331828898
780.4422271935655  3.300665655203055
780.4864451480563  3.4831613441216787
780.5196086139243  3.6640058689335264
780.5490872502515  3.832610184384997
780.5638265684152  3.935942283802241
780.5938316089624  4.113091608337877
780.6338383296921  4.307606073537324
780.6633169660194  4.490709392182325
780.6854259432647  4.621240473419109
780.7043764951893  4.8076905594745085
780.7384874886536  5.001935433237307
780.7738618522462  5.208610312737131
780.7738618522462  5.31735283668861
780.818079806737  5.464235349013125
780.8534541703297  5.661123401357315
780.8926976049402  5.834095107618809
780.9249398634231  6.051638565410322
780.9617881588321  6.206663416199527
780.990529829251  6.34209992676263
781.0423280045117  6.514006951879989
781.1386599767951  6.630173491870775
781.2602593516447  6.5426748112724695
781.3044773061355  6.427487840873923
781.3708042378717  6.3007417204155605
781.4371311696078  6.141372842771755
781.5034581013439  5.982003965127949
781.5587305444574  5.846175941426125
781.6029484989482  5.729357833168306
781.6493773511635  5.606019178722899
781.721389448477  5.444900007047167
781.7820312146357  5.280031921838521
781.8540433119493  5.134447396441573
781.9235286690063  4.9805213667803425
781.9810120098442  4.856296550882844
782.0635521915603  4.709522847836439
782.1593577596236  4.540541371390292
782.2709554542909  4.394200044563825
782.3767627025366  4.273609849543837
782.4873075887634  4.153287147972664
782.6199614522358  4.037535437394479
782.7526153157081  3.9761549887920333
782.8852691791803  3.936523044979883
783.0179230426527  3.895078725768541
783.150576906125  3.8119497723758
783.2832307695973  3.687136184801659
783.4158846330696  3.5532607202315596
783.5485384965419  3.4356966342541835
783.6811923600142  3.329006800671956
783.8138462234865  3.2277540932873006
783.9465000869587  3.130126136701029
784.0791539504311  3.03793530631233
784.2118078139034  2.954806352919589
784.3444616773756  2.878926901123613
784.477115540848  2.8048598247268277
784.6097694043203  2.7326051237292344
784.7424232677926  2.6694122997275977
784.8750771312649  2.6062194757259602
785.0077309947372  2.5484637779218966
785.1403848582095  2.4961452063154086
785.2730387216818  2.443826634708918
785.405692585154  2.389695687703237
785.5383464486264  2.346438993092705
