# Magnto-optical constants for Co L edge: delta delta
# energy (eV)   delta_delta * 1e-3
773.4017295738049  0.1376798725974313
773.534469297383  0.140707569900695
773.6672090209612  0.14425128717749014
773.7999487445393  0.1508911242954758
773.9326884681174  0.1559829014928662
774.0654281916954  0.15901059879612967
774.1981679152735  0.16255431607292503
774.3309076388517  0.16713007329678375
774.4636473624298  0.17067379057357912
774.5963870860079  0.1737014878768428
774.729126809586  0.17724520515363795
774.8618665331641  0.18285300232456003
774.9946062567423  0.18691273957488708
775.1273459803203  0.19045645685168244
775.2600857038984  0.19348415415494613
775.3928254274765  0.1990919513258682
775.5255651510547  0.20263566860266358
775.6583048746328  0.20514734593239536
775.7910445982109  0.21178718305038102
775.923784321789  0.2173949802213031
776.056524045367  0.22093869749809847
776.1892637689452  0.2255144547219572
776.3220034925233  0.2311222518928795
776.4547432161014  0.23466596916967486
776.5874829396795  0.24130580628766052
776.7202226632576  0.2489776833527093
776.8529623868358  0.25355344057656826
776.9857021104139  0.26174133761514917
777.1184418339919  0.2668331148125398
777.25118155757  0.2776011117187793
777.3839212811482  0.28475696881029666
777.5166610047263  0.29397690579594116
777.6494007283044  0.30577694264924404
777.7821404518825  0.32015707937020554
777.9148801754606  0.3366012959852942
778.0476198990388  0.35717367238863695
778.1803596226168  0.3777460487919795
778.3130993461949  0.3957383253276632
778.445839069773  0.41476264181041067
778.5785787933511  0.43275491834609436
778.7113185169293  0.45126321485530974
778.8440582405074  0.47235161123218394
778.9767979640854  0.49395602758259005
779.1058504731197  0.5217545842414302
779.2164669094349  0.5555828770550753
779.3070670382263  0.5951468520212435
779.3639554911883  0.6292633068964035
779.4303253529773  0.6634928218699472
779.5077568583979  0.7070565964862547
779.5851883638185  0.7547485308908162
779.6515582256075  0.7996080573191136
779.7179280873966  0.8460156436680062
779.7842979491857  0.8908751700963037
779.8396061673432  0.9362564183762933
779.8860650705955  0.9831902880794068
779.9170376727637  1.027758448533699
779.9568595898371  1.0679874797077962
779.9944691781843  1.1090432832151762
780.0608390399733  1.1440984301463706
780.1919985287469  1.1365116739767187
780.2599486253405  1.0980700186951562
780.3078824144104  1.0536675928327313
780.3373801307611  1.0151572977988357
780.3705650616556  0.9790703960144856
780.4037499925502  0.9414354343095407
780.4221860652693  0.9039628811008691
780.4627454252515  0.8590482365170194
780.4885559270583  0.8182693542256377
780.5187910863178  0.7748048873206269
780.5623002179351  0.7336040660453629
780.5807362906543  0.6948930649002152
780.6439456828343  0.6466494737836186
780.6881922573604  0.5962041431430183
780.7503481596707  0.5523841234069946
780.7761586614776  0.5121212610891446
780.8240924505475  0.4730854429514495
780.8646518105297  0.4295124502987826
780.9088983850557  0.38098376527415745
780.9457705304941  0.3394251511443176
780.967893817757  0.305356429134902
781.0200415663056  0.25767141843953545
781.0637613958968  0.2033930680849927
781.1006335413352  0.162092463941919
781.1264440431421  0.12028154170347372
781.1559417594927  0.08280328661664171
781.1743778322119  0.045949957376208106
781.2223116212817  0.005985303286156318
781.240747694001  -0.03303530984311043
781.2813070539831  -0.07846597440049186
781.30711755579  -0.12079291661246883
781.3476769157722  -0.16570756119631835
781.3771746321229  -0.2064883441137535
781.395610704842  -0.24571536523243287
781.4324828502805  -0.2846938794946141
781.465667781175  -0.3286095414488315
781.4922157258906  -0.3755957869756197
781.532037642964  -0.41931583378122794
781.5585855876797  -0.4691328174485332
781.5939828473005  -0.5056852775846938
781.6205307920161  -0.5551484189844345
781.6537157229106  -0.6021602007798423
781.6869006538052  -0.6480662254891099
781.7200855846997  -0.6958520372448149
781.7237727992435  -0.7361034958063442
781.7495833010504  -0.7784304380183207
781.8107910624781  -0.8017860912144437
781.9413184573299  -0.7893656900172703
782.074058180908  -0.755376794302103
782.1957362608546  -0.7214854007034812
782.2842294099066  -0.6920146732427506
782.4722773516423  -0.6719868262037421
782.6050170752204  -0.6632829091916299
782.7377567987985  -0.6561270521001121
782.8704965223766  -0.6520673148497853
783.0032362459548  -0.6485235975729904
783.1359759695329  -0.6454959002697265
783.268715693111  -0.6378240232046777
783.401455416689  -0.6249919464043108
783.5341951402671  -0.6126758895774762
783.6669348638453  -0.6003598327506412
783.7996745874234  -0.585463676056148
783.9324143110015  -0.5721155792822497
784.0651540345796  -0.5572194225877565
784.1978937581578  -0.5454193857344534
784.3306334817358  -0.5300072090664278
784.4633732053139  -0.5176911522395933
784.596112928892  -0.5043430554656949
784.7288526524701  -0.49202699863886035
784.8615923760483  -0.4797109418120258
784.9943320996264  -0.4679109049587227
785.1270718232045  -0.4576589280260148
