# Magnto-optical constants for Co L edge: delta
# energy (eV)   delta * 1e-3
773.4226269181563  -0.6786158106326337
773.5552807816285  -0.6964992496544884
773.6879346451009  -0.6980713100836198
773.8205885085732  -0.7087052475087088
773.9532423720455  -0.7139020587362257
774.0858962355178  -0.7209112453629327
774.21855009899  -0.7387946843847875
774.3512039624624  -0.7530533726082584
774.4838578259347  -0.7636873100333474
774.6165116894069  -0.7761336228576283
774.7491655528793  -0.7867675602827173
774.8818194163516  -0.8046509993045721
775.0144732798238  -0.8189096875280448
775.1471271432962  -0.8313560003523257
775.2797810067685  -0.8564889409709462
775.4124348702408  -0.8743723799927992
775.5450887337131  -0.8922558190146539
775.6777425971853  -0.9173887596332744
775.8103964606577  -0.9334598232559372
775.94305032413  -0.9640298900721298
776.0757041876022  -0.9873504552915584
776.2083580510746  -1.0124833959101789
776.3410119145469  -1.0358039611296075
776.4736657780192  -1.0736235295425676
776.6063196414915  -1.1005688455603782
776.7389735049638  -1.1347636631749527
776.8716273684361  -1.170770856188721
777.0042812319084  -1.206778049202489
777.1369350953806  -1.2445976176154474
777.269588958853  -1.2824171860284057
777.4022428223253  -1.3274862560381298
777.5348966857975  -1.3689305752494736
777.6675505492699  -1.4230615222551535
777.8002044127422  -1.4699429676640676
777.9328582762145  -1.5276986654681313
778.0655121396868  -1.581829612473813
778.1981660031591  -1.6486471872738306
778.3308198666314  -1.7118400112754681
778.4634737301037  -1.7768452106762975
778.5961275935759  -1.8509122870730828
778.7287814570483  -1.9286041142682517
778.8614353205206  -2.011733067660991
778.9940891839929  -2.1002991472513077
779.1267430474652  -2.203364230035154
779.2593969109375  -2.3064293128189988
779.3920507744098  -2.427618149594757
779.5247046378821  -2.5560564879672825
779.6463040127317  -2.679440201469575
779.7170527399169  -2.7837048564789626
779.8084365125312  -2.9053309329919124
779.9042420805945  -3.0428979025187424
780.0074173077396  -3.1913257736090497
780.0979588336016  -3.3351161379557297
780.1548104893756  -3.4636400170140256
780.2211374211117  -3.587486336833681
780.2653553756024  -3.7200721110644643
780.3316823073386  -3.866754360913932
780.4090637276975  -3.9626700733385345
780.5417175911697  -3.956992632170902
780.6706866251011  -3.861911346725668
780.7517528750009  -3.726440457771016
780.818079806737  -3.597641646943403
780.8844067384732  -3.4434695805271147
780.9507336702094  -3.274798510917295
781.0170606019454  -3.114101893063914
781.0649633859772  -2.993673386151757
781.1010747154779  -2.8703664399315656
781.1591897413801  -2.716468160927592
781.1976172494494  -2.5693372277709337
781.2602593516447  -2.402485208976138
781.3076357314562  -2.2190905561114818
781.3708042378717  -2.047512462109392
781.4181806176831  -1.8631468938523117
781.4908244000609  -1.6703856789403737
781.5603097571178  -1.5273410539055448
781.639270390137  -1.4137950914453956
781.7577113396658  -1.2833484065373817
781.8903652031381  -1.1943016970069493
782.0230190666105  -1.0998178612789449
782.1556729300827  -1.0053340255509386
782.288326793555  -0.9072254390245487
782.4209806570274  -0.8091168524981587
782.5536345204996  -0.7110082659717705
782.6862883839719  -0.6092749286469985
782.8189422474443  -0.5093539667214184
782.9515961109165  -0.4130577555942203
783.0842499743889  -0.3149491690678321
783.2169038378611  -0.22227770873901775
783.3495577013334  -0.1332309992085854
783.4822115648058  -0.04418428967815302
783.614865428278  0.033988167457131624
783.7475192917503  0.10672349839484419
783.8801731552227  0.1740217031349811
784.0128270186949  0.22682090468158833
784.1454808821672  0.27055822923223705
784.2781347456396  0.28892229819420834
784.4107886091118  0.2801007361683103
784.5434424725842  0.27852867573917717
784.6760963360564  0.278768990709235
784.8087501995287  0.2790093056792937
784.9414040630011  0.26293824205663086
785.0740579264733  0.2577414308291157
785.2067117899456  0.25435699500079245
785.339365653418  0.2364735559789377
785.4720195168902  0.23671387094899643
785.6046733803626  0.22789230892309575
785.7373272438349  0.22450787309477427
785.8699811073071  0.21568631106887537
786.0026349707795  0.2141142506397422
786.1352888342517  0.19623081161788747
786.267942697724  0.19465875118875609
786.4005965611964  0.18583718916285719
786.5332504246686  0.18245275333453392
786.665904288141  0.17363119130863502
786.7985581516133  0.17024675548030999
786.9312120150855  0.15236331645845702
787.0638658785579  0.14897888063013198
787.1965197420302  0.13290781700746912
787.3291736055024  0.13133575657833596
787.4618274689748  0.12251419455243884
787.594481332447  0.12094213412330568
787.7271351959193  0.11393294749660043
787.8597890593917  0.11054851166827362
787.9924429228639  0.10897645123914224
788.1250967863363  0.09290538761647937
788.2577506498086  0.08952095178815433
788.3904045132808  0.0843241405606392
788.5230583767532  0.07912732933312405
788.6557122402255  0.06849339190803505
788.7883661036977  0.06692133147890367
788.9210199671701  0.04722551705785705
789.0536738306423  0.04746583202791399
789.1863276941147  0.02777001760686737
